game_id,home,away,total_home_EPA,total_away_EPA,season,home_win
401635606,Boston College,Syracuse,-2.491440908629551,2.491440908629551,2024,1
401635607,Virginia Tech,Clemson,-8.659355565668085,8.659355565668085,2024,0
401635608,NC State,Duke,-11.710308788222699,11.710308788222699,2024,0
401635609,Georgia Tech,Miami,-0.11223376202872845,0.11223376202872845,2024,1
401635610,Pittsburgh,Virginia,-0.18994508212044658,0.18994508212044658,2024,0
401635612,Boston College,North Carolina,13.900185526109844,-13.900185526109844,2024,1
401635613,California,Stanford,12.786589654754124,-12.786589654754124,2024,1
401635614,Clemson,The Citadel,27.896091961486157,-27.896091961486157,2024,1
401635615,Duke,Virginia Tech,5.126207180245952,-5.126207180245952,2024,1
401635616,Florida State,Charleston Southern,26.99704893620772,-26.99704893620772,2024,1
401635617,Louisville,Pittsburgh,22.271185607656864,-22.271185607656864,2024,1
401635618,Miami,Wake Forest,25.466967836095588,-25.466967836095588,2024,1
401635619,Virginia,SMU,-30.471902018789002,30.471902018789002,2024,0
401635620,Boston College,Pittsburgh,8.124593871596371,-8.124593871596371,2024,1
401635621,SMU,California,31.63058666059613,-31.63058666059613,2024,1
401635622,Wake Forest,Duke,-7.0325375966648025,7.0325375966648025,2024,0
401635623,Syracuse,Miami,5.234778580279611,-5.234778580279611,2024,1
401635624,North Carolina,NC State,-9.685813388150082,9.685813388150082,2024,0
401635625,San José State,Stanford,0.719584859135628,-0.719584859135628,2024,1
401635627,SMU,Pittsburgh,7.071611591802894,-7.071611591802894,2024,1
401635638,NC State,Wake Forest,0.12761493943355867,-0.12761493943355867,2024,0
401635639,Wake Forest,Virginia,-11.394216770010688,11.394216770010688,2024,0
401635640,Virginia Tech,Virginia,13.210826382056014,-13.210826382056014,2024,1
401635659,Wake Forest,Louisiana,-4.550923262268591,4.550923262268591,2024,0
401636363,South Florida,Bethune-Cookman,36.48238593652201,-36.48238593652201,2024,1
401636364,Western Michigan,Bethune-Cookman,22.146471768810528,-22.146471768810528,2024,1
401636374,Troy,Florida A&M,22.31942942301116,-22.31942942301116,2024,1
401636380,Louisiana,Grambling,22.91624423191128,-22.91624423191128,2024,1
401636387,UL Monroe,Jackson State,8.8900280337796,-8.8900280337796,2024,1
401636606,Kansas,Lindenwood,34.34494404676454,-34.34494404676454,2024,1
401636607,Utah,Southern Utah,42.54962886477547,-42.54962886477547,2024,1
401636608,Arizona,New Mexico,27.607101654961507,-27.607101654961507,2024,1
401636609,Arizona State,Wyoming,33.758641186352975,-33.758641186352975,2024,1
401636610,Baylor,Tarleton State,38.26452366419239,-38.26452366419239,2024,1
401636611,Houston,UNLV,-17.279744527223187,17.279744527223187,2024,0
401636612,Kansas State,UT Martin,31.48282888764136,-31.48282888764136,2024,1
401636613,Texas Tech,Abilene Christian,-6.51454190422513,6.51454190422513,2024,1
401636614,Arizona,Northern Arizona,15.680759767358177,-15.680759767358177,2024,1
401636615,TCU,Long Island University,43.99439600254099,-43.99439600254099,2024,1
401636616,Tulane,Kansas State,-7.6045721689358645,7.6045721689358645,2024,0
401636617,UCF,Sam Houston,26.53201070931878,-26.53201070931878,2024,1
401636618,Utah,Baylor,8.044563080404446,-8.044563080404446,2024,1
401636859,Washington State,Texas Tech,3.3363274975563604,-3.3363274975563604,2024,1
401636860,Baylor,Air Force,23.927709063482965,-23.927709063482965,2024,1
401636861,Colorado State,Colorado,-11.902514004884356,11.902514004884356,2024,0
401636862,Houston,Rice,16.864212666513126,-16.864212666513126,2024,1
401636863,Kansas,UNLV,2.261440229843211,-2.261440229843211,2024,0
